RECORD_NUMBER,CUSTOMER_ID,CUSTOMER_NAME,CUSTOMER_SURNAME,CUSTOMER_ADDRESS,CUSTOMER_ZIP_CODE,CUSTOMER_NATIONAL_ID,CUSTOMER_BIRTH_DATE
1,1,omNa9TxvEL8XG6QDWdozBQ==,AMGgfE/4rzUI7gtzemJlDw==,"512 Bishop Overpass Apt. 203, Roystad, WV 73391",23661,MT+qyOgYn8kMIDzhCBoKzg==,2001-03-02
2,2,OwewM1o4wGtLHtNK7owr1A==,EST45PRqtH4XZ7mKak4F0w==,"19136 Robin Via, Colemanmouth, NM 50759",44678,F4jEOJbHbDboSmhw7oXANA==,2001-02-22
3,3,dYpkioJv+WKhVr4icFLbbg==,PIMVpx+/HTuqJXdzenNrrQ==,"8966 Harris Knoll, New Lauren, OK 77996",77077,PfYOTO+P5KeTnN09/6ea5w==,1996-12-13
4,4,Tj3vBu0Wt99HqaNiztoMlA==,dDrmtMErdy3/k044H/1mPA==,"452 Scott Overpass, South Laura, NE 82531",12054,8wWoF5gtOWYnuFwA4l8Eng==,1996-11-06
5,5,q8WyJ9NuFUygw/mQQlhWUg==,rAprHwBh77xPhcJno3qaOQ==,"59773 Michael Village, Port Jeffrey, KY 67600",67955,SB4rEs4CCUFUhSeFpILVmQ==,2004-03-21
6,6,/lQxZkOLNfscqJEy2yNcLQ==,mly7Z4E2W/Vw4Bq56/8BzA==,"5910 David Highway Apt. 640, Veronicafort, MO 64546",20903,mvX4q6b95figgXv+6Ya+ww==,2002-03-16
7,7,Rs/gW8QbgYI0wwhqqPuXYg==,LkXyy7mvn2G2nIlvtQYZyA==,"515 Donna Glen Suite 373, Moniquebury, TX 37105",10561,SJUymZcMbd4DYol0BOGbuw==,2002-02-08
8,8,vFid53nBUEnhn0OrEJYnDA==,VDEUFAcZEKXxferuo3JUyQ==,"96098 Mccormick Harbor Suite 131, Dawnburgh, NY 88727",28013,DuTFCVQyEPMEUf3+6sq/dw==,2004-03-13
9,9,GdjNP29ueMRau2HrPeKD9Q==,73k2leA++BlSSyuIBROPBQ==,"151 Bryant Isle, Lake Gordonfort, NC 83780",13973,d0kvRiL/3hsSSxGQDJyeMQ==,2001-04-01
10,10,JVoUm6hMXIBl/IXjb1z3nQ==,nnmZBejYbH1IX9CUtu7e2w==,"3782 William Center, Cruzmouth, MO 49784",15110,gT4r878rfVQqmHNIEVVgVg==,1998-08-02
11,11,UQDIynjF5gemeyXzgmniDg==,rAprHwBh77xPhcJno3qaOQ==,"85231 Timothy Springs Suite 880, Lake Nathanburgh, NY 82067",17328,YjymVikhS3SHyJq0FKV0AQ==,2000-12-06
12,12,CCD11aNtjrtGhzoE8ChSWQ==,dDd/luICcTL4nnpLCZki5Q==,"18368 Morales Rapid, Bakermouth, NJ 42088",05847,TA2eO2fs/mmx+OXd6cqt/A==,1996-12-24
13,13,rQMHyM3aDsP4qc+DBpEJdA==,AiOH3zAInpMR3CI3cMTkjg==,"251 Michael Ways Apt. 573, New Brian, VT 11070",50263,n2XvrWfIERzoScusU2+SNg==,2001-06-03
